id,key,value,type
24583327,oneway,yes,regular
24583330,highway,secondary,regular
24583330,name,Baba Kharak Singh Marg,regular
24583330,old_name,Irwin Road,regular
24583330,oneway,yes,regular
24583332,highway,secondary,regular
24583332,name,Baba Kharak Singh Marg,regular
24583332,old_name,Irwin Road,regular
24583332,oneway,yes,regular
24583333,highway,secondary,regular
24583333,junction,roundabout,regular
24583333,name,Mandi House Chowk,regular
24583333,oneway,yes,regular
24583334,highway,secondary,regular
24583334,name,Ashok Road,regular
24583334,oneway,yes,regular
24583335,highway,secondary,regular
24583335,name,Ashok Road,regular
24583335,oneway,yes,regular
24583337,highway,secondary,regular
24583337,junction,roundabout,regular
24583337,name,Ashok Road,regular
24583339,highway,secondary,regular
24583339,name,Ashok Road,regular
24583339,oneway,yes,regular
24583487,highway,tertiary,regular
24583487,name,Jay Singh Marg,regular
24583488,highway,unclassified,regular
24583488,name,Hanuman Road,regular
24583489,highway,unclassified,regular
24583489,name,Bangla Sahib Lane,regular
24583491,highway,unclassified,regular
24583491,name,Janpath Lane,regular
24583492,highway,service,regular
24583493,highway,unclassified,regular
24583493,name,Jantar Mantar Road,regular
24583493,oneway,yes,regular
24583494,highway,unclassified,regular
24583494,name,Jantar Mantar Road,regular
24583494,oneway,yes,regular
24583495,highway,unclassified,regular
24583495,name,Jantar Mantar Road,regular
24583584,highway,unclassified,regular
24583584,name,HC Mathur Lane,regular
24583586,highway,residential,regular
24583586,name,Hailey Road;Atul Grove Road,regular
24583587,highway,unclassified,regular
24583587,name,Atul Grove Lane,regular
24583588,highway,residential,regular
24583589,highway,residential,regular
24583590,highway,residential,regular
24583592,highway,residential,regular
24583592,name,Hailey Lane,regular
24583593,highway,residential,regular
24583594,highway,unclassified,regular
24583594,name,Vakil Lane,regular
24583596,highway,residential,regular
24583597,highway,residential,regular
24583768,highway,residential,regular
24583769,highway,residential,regular
24583770,highway,residential,regular
24583771,highway,secondary,regular
24583771,junction,roundabout,regular
24583773,highway,secondary,regular
24583773,oneway,yes,regular
24583775,highway,secondary,regular
24583775,oneway,yes,regular
24583776,highway,secondary,regular
24583776,name,Baba Kharak Singh Marg,regular
24583776,old_name,Irwin Road,regular
24583777,highway,secondary,regular
24583777,oneway,yes,regular
24584373,highway,unclassified,regular
24584373,name,Bangla Sahib Road,regular
24584374,highway,residential,regular
24584375,highway,tertiary,regular
24584375,oneway,yes,regular
24584376,highway,tertiary,regular
24584376,oneway,yes,regular
24584377,highway,tertiary,regular
24584377,name,Pandit Pant Marg,regular
24584378,highway,unclassified,regular
24584378,name,Talkatora Road,regular
24584378,oneway,yes,regular
24584379,highway,unclassified,regular
24584379,name,Talkatora Road,regular
24584379,oneway,yes,regular
24584380,highway,unclassified,regular
24584380,name,Talkatora Road,regular
24584381,highway,unclassified,regular
24584382,highway,unclassified,regular
24584383,highway,unclassified,regular
24584384,highway,unclassified,regular
24584385,highway,residential,regular
24584386,highway,unclassified,regular
24584387,highway,service,regular
24584388,access,no,regular
24584388,highway,service,regular
24584388,name,Red Cross Road,regular
24584389,highway,tertiary,regular
24584389,junction,roundabout,regular
24584390,highway,unclassified,regular
24584390,name,Gurudwara Rakabganj Road,regular
24584391,highway,unclassified,regular
24584392,highway,unclassified,regular
24584393,highway,unclassified,regular
24584394,highway,unclassified,regular
24584395,highway,tertiary,regular
24584395,name,North Avenue,regular
24584396,highway,tertiary,regular
24584396,name,North Avenue,regular
24584396,oneway,yes,regular
24584397,highway,tertiary,regular
24584397,name,North Avenue,regular
24584397,oneway,yes,regular
24584398,highway,tertiary,regular
24584398,junction,roundabout,regular
24584399,highway,service,regular
24584399,oneway,yes,regular
24584400,highway,service,regular
24584401,highway,unclassified,regular
24584401,name,Brassey Road,regular
24584403,access,no,regular
24584403,highway,service,regular
24584403,name,Rajya Sabha Marg,regular
24584404,highway,service,regular
